Sentence,Sentiment,processed_text,sentiment_text
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,neutral,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral,The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",
The plant is expected to enter commercial operation by mid-2009 .,neutral,The plant is expected to enter commercial operation by mid-2009 .,
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,
BG Group appoints new CEO one month early,neutral,BG Group appoints new CEO one month early,
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,The acquisition will have an immediate positive impact on Aspocomp 's financial result .,
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,RT @bman1 $LNG looks primed also $EGHT poised to run too...,
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,It is also 7.7 pct above the 12-month volume weighted average price of the stock .,
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO,
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,$CRM Sep 40 calls are +35% since entry #BANG,
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,
$VMW  Got a nice push today following small sweepers of May C this morning,positive,$VMW Got a nice push today following small sweepers of May C this morning,
That topped consensus forecasts for earnings of 0.21 euros a share .,positive,That topped consensus forecasts for earnings of 0.21 euros a share .,
R&D Loan ) .,neutral,R&D Loan ) .,
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",
"You need to be ready when the window opens up , Rosberg said .",neutral,"You need to be ready when the window opens up , Rosberg said .",
"More than 50,000 tonnes of asphalt mix will be used in the contract .",neutral,"More than 50,000 tonnes of asphalt mix will be used in the contract .",
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",neutral,"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive,$CTRP breaking out here on good vol and a parser buy signal ..noticed this on bob langs comments looking for 48 fast,
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",
Nordea was the cheapest also for a couple in their 30s with debt .,neutral,Nordea was the cheapest also for a couple in their 30s with debt .,
"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",neutral,"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative,"Tesla is recalling 2,700 Model X cars: $TSLA",
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",neutral,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,
The solution will now be expanded to include all ground staff tasks .,neutral,The solution will now be expanded to include all ground staff tasks .,
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,neutral,As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,positive,CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive,"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral,"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",neutral,"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",
The company expects its net sales for the whole 2009 to be at previous year levels .,neutral,The company expects its net sales for the whole 2009 to be at previous year levels .,
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",neutral,"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",
